id,attr_time,,attr_x,attr_y,attr_z
239,1.54718E+12,2018-01-11 14:52:09,-0.548035,4.1786,8.01736
240,1.54718E+12,2018-01-11 14:52:09,-0.663422,4.02881,8.09314
241,1.54718E+12,2018-01-11 14:52:09,-0.912674,4.16255,8.34955
242,1.54718E+12,2018-01-11 14:52:09,-0.927307,4.15305,8.40981
243,1.54718E+12,2018-01-11 14:52:09,-0.806152,4.15335,8.1275
244,1.54718E+12,2018-01-11 14:52:09,-0.631058,4.13718,8.07579
245,1.54718E+12,2018-01-11 14:52:09,-0.487442,4.1441,8.21329
246,1.54718E+12,2018-01-11 14:52:09,-0.595978,4.22794,8.32211
247,1.54718E+12,2018-01-11 14:52:09,-0.749969,4.28809,8.45204
248,1.54718E+12,2018-01-11 14:52:09,-0.763458,4.30957,8.47996
249,1.54718E+12,2018-01-11 14:52:09,-0.7547,4.30186,8.23944
250,1.54718E+12,2018-01-11 14:52:09,-0.715469,4.29041,8.01329
251,1.54718E+12,2018-01-11 14:52:09,-0.67189,4.25511,8.12671
252,1.54718E+12,2018-01-11 14:52:09,-0.741669,4.20688,8.24643
253,1.54718E+12,2018-01-11 14:52:09,-0.846451,4.25107,8.4111
254,1.54718E+12,2018-01-11 14:52:09,-0.766266,4.24069,8.36073
255,1.54718E+12,2018-01-11 14:52:09,-0.763931,4.19464,8.20071
256,1.54718E+12,2018-01-11 14:52:10,-0.717087,4.22035,8.20196
257,1.54718E+12,2018-01-11 14:52:10,-0.811325,4.18468,8.24448
258,1.54718E+12,2018-01-11 14:52:10,-0.824463,4.25125,8.21776
259,1.54718E+12,2018-01-11 14:52:10,-0.804459,4.23302,8.00659
260,1.54718E+12,2018-01-11 14:52:10,-0.790207,4.26192,7.95847
261,1.54718E+12,2018-01-11 14:52:10,-0.764832,4.28049,8.81004
262,1.54718E+12,2018-01-11 14:52:10,-0.742737,4.28613,9.13406
263,1.54718E+12,2018-01-11 14:52:10,-0.797501,4.37714,8.51816
264,1.54718E+12,2018-01-11 14:52:10,-0.691086,4.23767,7.91681
265,1.54718E+12,2018-01-11 14:52:10,-0.796219,4.40768,8.09962
266,1.54718E+12,2018-01-11 14:52:10,-0.727844,4.22298,8.19067
267,1.54718E+12,2018-01-11 14:52:10,-0.568863,4.15489,8.04309
268,1.54718E+12,2018-01-11 14:52:10,-0.543045,4.13074,8.04466
269,1.54718E+12,2018-01-11 14:52:10,-0.632065,4.11803,8.09416
270,1.54718E+12,2018-01-11 14:52:10,-0.681107,4.23242,8.05296
271,1.54718E+12,2018-01-11 14:52:10,-0.730026,4.30739,8.28744
272,1.54718E+12,2018-01-11 14:52:10,-0.768555,4.29041,8.36774
273,1.54718E+12,2018-01-11 14:52:10,-0.768066,4.29041,8.29544
274,1.54718E+12,2018-01-11 14:52:10,-0.627365,4.25623,8.20601
275,1.54718E+12,2018-01-11 14:52:10,-0.59227,4.22261,7.94875
276,1.54718E+12,2018-01-11 14:52:10,-0.736832,4.27913,8.12218
277,1.54718E+12,2018-01-11 14:52:10,-0.804459,4.29041,8.57622
278,1.54718E+12,2018-01-11 14:52:10,-0.62616,4.20125,8.35565
279,1.54718E+12,2018-01-11 14:52:10,-0.566483,4.14085,8.1933
280,1.54718E+12,2018-01-11 14:52:10,-0.630203,4.15634,8.31566
281,1.54718E+12,2018-01-11 14:52:10,-0.623978,4.11545,8.40291
282,1.54718E+12,2018-01-11 14:52:10,-0.70575,4.08031,8.4827
283,1.54718E+12,2018-01-11 14:52:10,-0.755768,4.07809,8.39253
284,1.54718E+12,2018-01-11 14:52:10,-0.738617,4.14651,8.13431
285,1.54718E+12,2018-01-11 14:52:10,-0.63237,4.14203,8.04424
286,1.54718E+12,2018-01-11 14:52:10,-0.612915,4.11769,8.44763
287,1.54718E+12,2018-01-11 14:52:10,-0.628204,4.06056,8.56433
288,1.54718E+12,2018-01-11 14:52:10,-0.660294,4.06056,8.40535
289,1.54718E+12,2018-01-11 14:52:10,-0.666306,4.07562,8.29073
290,1.54718E+12,2018-01-11 14:52:10,-0.59201,4.09975,8.23959
291,1.54718E+12,2018-01-11 14:52:10,-0.573059,4.10629,8.38309
292,1.54718E+12,2018-01-11 14:52:10,-0.558899,4.06891,8.43448
293,1.54718E+12,2018-01-11 14:52:10,-0.548676,4.06056,8.1619
294,1.54718E+12,2018-01-11 14:52:10,-0.63855,4.04465,8.3383
295,1.54718E+12,2018-01-11 14:52:10,-0.708679,4.08626,8.38881
296,1.54718E+12,2018-01-11 14:52:10,-0.708679,4.09888,8.2706
297,1.54718E+12,2018-01-11 14:52:10,-0.692123,4.09888,8.3163
298,1.54718E+12,2018-01-11 14:52:10,-0.639038,4.089,8.32428
299,1.54718E+12,2018-01-11 14:52:10,-0.711456,4.14902,8.34998
300,1.54718E+12,2018-01-11 14:52:10,-0.771606,4.16177,8.34132
301,1.54718E+12,2018-01-11 14:52:10,-0.905991,4.22722,8.32033
302,1.54718E+12,2018-01-11 14:52:10,-0.788971,4.08026,8.06734
303,1.54718E+12,2018-01-11 14:52:10,-0.700638,3.90337,8.12404
304,1.54718E+12,2018-01-11 14:52:10,-0.46785,3.70113,8.29964
305,1.54718E+12,2018-01-11 14:52:10,-0.526047,3.6223,8.54571
306,1.54718E+12,2018-01-11 14:52:11,-0.425125,3.50511,8.97546
307,1.54718E+12,2018-01-11 14:52:11,-0.390274,3.54024,8.793
308,1.54718E+12,2018-01-11 14:52:11,-0.448944,3.54039,8.30295
309,1.54718E+12,2018-01-11 14:52:11,-0.459686,3.46822,8.17955
310,1.54718E+12,2018-01-11 14:52:11,-0.345779,3.39572,8.71899
311,1.54718E+12,2018-01-11 14:52:11,-0.258804,3.26634,9.16406
312,1.54718E+12,2018-01-11 14:52:11,-0.287949,3.10687,9.2169
313,1.54718E+12,2018-01-11 14:52:11,-0.229111,3.02443,9.24533
314,1.54718E+12,2018-01-11 14:52:11,-0.212585,2.9305,8.7765
315,1.54718E+12,2018-01-11 14:52:11,-0.247711,3.00204,8.09671
316,1.54718E+12,2018-01-11 14:52:11,-0.36702,3.06458,8.5162
317,1.54718E+12,2018-01-11 14:52:11,-0.777817,3.19543,9.09582
318,1.54718E+12,2018-01-11 14:52:11,-0.602798,3.15329,9.0415
319,1.54718E+12,2018-01-11 14:52:11,-0.399017,3.20149,9.09018
320,1.54718E+12,2018-01-11 14:52:11,-0.245529,3.26585,8.97925
321,1.54718E+12,2018-01-11 14:52:11,-0.240677,3.23334,8.61732
322,1.54718E+12,2018-01-11 14:52:11,-0.338013,3.15805,8.7285
323,1.54718E+12,2018-01-11 14:52:11,-0.325607,3.07201,9.02248
324,1.54718E+12,2018-01-11 14:52:11,-0.308899,3.09801,8.97609
325,1.54718E+12,2018-01-11 14:52:11,-0.268158,3.07857,8.59854
326,1.54718E+12,2018-01-11 14:52:11,-0.253128,3.04543,8.50348
327,1.54718E+12,2018-01-11 14:52:11,-0.254883,3.09546,8.66176
328,1.54718E+12,2018-01-11 14:52:11,-0.285629,3.10457,8.87207
329,1.54718E+12,2018-01-11 14:52:11,-0.332184,3.1669,8.91847
330,1.54718E+12,2018-01-11 14:52:11,-0.339066,3.18207,8.7998
331,1.54718E+12,2018-01-11 14:52:11,-0.319702,3.17357,8.79744
332,1.54718E+12,2018-01-11 14:52:11,-0.307419,3.21588,8.75513
333,1.54718E+12,2018-01-11 14:52:11,-0.34787,3.16344,8.7804
334,1.54718E+12,2018-01-11 14:52:11,-0.296295,3.0849,8.85561
